"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Assam","Darrang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Darrang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Dhemaji","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Dhemaji","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Dhemaji","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Dhubri","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Dhubri","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Dhubri","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Dibrugarh","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Dibrugarh","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Dibrugarh","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Dima Hasao","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Dima Hasao","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Dima Hasao","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Goalpara","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Goalpara","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Goalpara","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Golaghat","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Golaghat","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Golaghat","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Hailakandi","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Hailakandi","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Hailakandi","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Hojai","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Hojai","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Hojai","2024-01-03","2024","01","NA","IMD GRID MODEL"
